OrderID,OrderDate,DeliveryDate,OrderType,Status,CustomerName,ProductName,Quantity,UnitPrice,TotalAmount,ShippingAddress,City,Region
1001,2025-01-15,2025-01-18,Standard,Completed,Tech Solutions Inc,Laptop Pro 15,5,1200.00,6000.00,123 Main St,New York,Northeast
1002,2025-01-16,2025-01-20,Express,Completed,Global Retail Co,Wireless Mouse,25,35.00,875.00,456 Oak Ave,Los Angeles,West
1003,2025-01-17,2025-01-22,Standard,In Transit,Smart Homes Ltd,Smart Thermostat,10,150.00,1500.00,789 Elm Rd,Chicago,Midwest
1004,2025-01-18,2025-01-19,Express,Completed,Office Supplies Plus,USB-C Cable,100,12.00,1200.00,321 Pine St,Houston,South
1005,2025-01-19,2025-01-23,Standard,Pending,Digital Workspace,Monitor 27inch,8,350.00,2800.00,654 Maple Dr,Phoenix,West
1006,2025-01-20,2025-01-24,Standard,Completed,Tech Solutions Inc,Keyboard Mechanical,15,120.00,1800.00,123 Main St,New York,Northeast
1007,2025-01-21,2025-01-25,Standard,In Transit,Mobile Connect,Phone Case,50,20.00,1000.00,987 Cedar Ln,Philadelphia,Northeast
1008,2025-01-22,2025-01-23,Express,Completed,Global Retail Co,Tablet 10inch,12,400.00,4800.00,456 Oak Ave,Los Angeles,West
1009,2025-01-23,2025-01-27,Standard,Pending,Enterprise Systems,Docking Station,6,200.00,1200.00,147 Birch St,San Antonio,South
1010,2025-01-24,2025-01-28,Standard,Completed,Smart Homes Ltd,Security Camera,20,80.00,1600.00,789 Elm Rd,Chicago,Midwest
1011,2025-01-25,2025-01-29,Standard,In Transit,Office Supplies Plus,Printer Ink,30,45.00,1350.00,321 Pine St,Houston,South
1012,2025-01-26,2025-01-27,Express,Completed,Digital Workspace,External SSD 1TB,10,180.00,1800.00,654 Maple Dr,Phoenix,West
1013,2025-01-27,2025-01-31,Standard,Pending,Tech Solutions Inc,Webcam HD,8,90.00,720.00,123 Main St,New York,Northeast
1014,2025-01-28,2025-02-01,Standard,Completed,Mobile Connect,Screen Protector,40,15.00,600.00,987 Cedar Ln,Philadelphia,Northeast
1015,2025-01-29,2025-01-30,Express,Completed,Global Retail Co,Headphones Wireless,18,150.00,2700.00,456 Oak Ave,Los Angeles,West
